INFO flower 2021-04-11 22:47:26,893 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-11 22:47:26,911 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 22:49:28,688 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 22:49:28,713 | numpy_client.py:228 | read: ReadRes(clock=24)
DEBUG flower 2021-04-11 22:49:28,756 | numpy_client.py:172 | fit, FitIns(clock=26)
DEBUG flower 2021-04-11 22:49:28,756 | numpy_client.py:260 | cached_clock: 24, curr_clock: 26
INFO flower 2021-04-11 22:50:46,609 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=26)
DEBUG flower 2021-04-11 22:50:46,627 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 22:50:48,058 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 22:50:48,080 | numpy_client.py:172 | fit, FitIns(clock=27)
