INFO flower 2021-04-10 16:21:57,504 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=25)
DEBUG flower 2021-04-10 16:21:57,505 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:21:57,526 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:21:57,526 | numpy_client.py:172 | fit, FitIns(clock=26)
DEBUG flower 2021-04-10 16:21:57,526 | numpy_client.py:260 | cached_clock: 23, curr_clock: 26
INFO flower 2021-04-10 16:21:57,526 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 16:21:57,527 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:22:45,245 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:22:45,246 | numpy_client.py:228 | read: ReadRes(clock=24)
DEBUG flower 2021-04-10 16:22:45,253 | numpy_client.py:172 | fit, FitIns(clock=26)
DEBUG flower 2021-04-10 16:22:45,253 | numpy_client.py:260 | cached_clock: 24, curr_clock: 26
INFO flower 2021-04-10 16:22:48,421 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=26)
DEBUG flower 2021-04-10 16:22:48,422 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:22:48,452 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:22:48,453 | numpy_client.py:172 | fit, FitIns(clock=27)
